"Nombre","Zona","Significado"
"Aminath","Maldivas","Forma femenina tradicional; muy usada en Dhivehi."
"Aishath","Maldivas","Forma femenina tradicional; variante local de Aisha."
"Mariyam","Maldivas","Forma local de Maryam / María."
"Fathimath","Maldivas","Forma local de Fátima."
"Khadeeja","Maldivas","Forma local de Jadiya / Khadija."
"Shaheen","Maldivas","Halcón."
"Ahmed","Maldivas","Muy usado en la región; “el más alabado”."
"Hussain","Maldivas","Nombre tradicional muy extendido."
"Ibrahim","Maldivas","Abraham."
"Mohamed","Maldivas","El alabado."
"Ismail","Maldivas","Dios escucha."
"Zubair","Maldivas","Fuerte, valiente."
"Ilyas","Maldivas","Forma local de Elías."
"Saleem","Maldivas","Seguro, pacífico."
"Rameez","Maldivas","Símbolo / indicio, según uso local."
"Nasha","Maldivas","Nombre femenino breve de uso local."
"Nazeema","Maldivas","Ordenada, disciplinada."
"Shifaza","Maldivas","Salud, curación."
"Luba","Maldivas","Nombre breve femenino de uso local."
"Rahee","Maldivas","Camino / viajera, según uso local."
