"Nombre","Zona","Significado"
"Ananda","Sri Lanka","Felicidad, dicha."
"Nimal","Sri Lanka","Puro, limpio."
"Udaya","Sri Lanka","Amanecer."
"Harsha","Sri Lanka","Alegría."
"Tharindu","Sri Lanka","Brillo lunar o estrella, según uso local."
"Dinuka","Sri Lanka","Resplandor, claridad."
"Kasun","Sri Lanka","Nombre tradicional cingalés."
"Chamara","Sri Lanka","Abanico ceremonial; símbolo real en usos históricos."
"Ruwan","Sri Lanka","Oro."
"Thilina","Sri Lanka","Plenitud, completo."
"Anjali","Sri Lanka","Ofrenda, saludo reverente."
"Priyanka","Sri Lanka","Querida, amada."
"Nayana","Sri Lanka","Ojo."
"Sanduni","Sri Lanka","Ligada a la luna."
"Kavindi","Sri Lanka","Poética, literaria."
"Maleesha","Sri Lanka","Fragancia, suavidad."
"Ishara","Sri Lanka","Señal, indicio."
"Tharushi","Sri Lanka","Resplandeciente, luminosa."
"Saman","Sri Lanka","Flor o nombre tradicional masculino."
"Thusitha","Sri Lanka","Alegría, satisfacción."
"Aminath","Maldivas","Forma femenina tradicional local."
"Aishath","Maldivas","Variante local de Aisha."
"Mariyam","Maldivas","Forma local de María / Maryam."
"Fathimath","Maldivas","Forma local de Fátima."
"Khadeeja","Maldivas","Forma local de Khadija."
"Nafha","Maldivas","Fragancia, aliento suave."
"Shifaza","Maldivas","Salud, curación."
"Nazeema","Maldivas","Ordenada, disciplinada."
"Nasha","Maldivas","Nombre femenino breve de uso local."
"Luba","Maldivas","Nombre femenino tradicional breve."
"Ahmed","Maldivas","Muy alabado."
"Hussain","Maldivas","Bello, bueno; nombre tradicional islámico."
"Ibrahim","Maldivas","Abraham."
"Mohamed","Maldivas","El alabado."
"Ismail","Maldivas","Dios escucha."
"Zubair","Maldivas","Fuerte, valiente."
"Ilyas","Maldivas","Forma local de Elías."
"Saleem","Maldivas","Pacífico, seguro."
"Rameez","Maldivas","Símbolo, signo."
"Shaheen","Maldivas","Halcón."
